Year,Type,Country,Age,Fatal (Y/N),Activity,Specie,Month,Sex
2017,Unprovoked,AUSTRALIA,48,False,Unknown,white,6,M
2017,Unprovoked,USA,19,False,Water Activity,unknown,6,M
2017,Unprovoked,UNITED KINGDOM,30,False,Unknown,unknown,6,M
2017,Unprovoked,BAHAMAS,32,False,Water Activity,tiger,6,F
2017,Provoked,USA,20,False,Unknown,unknown,5,F
2017,Unprovoked,UNITED ARAB EMIRATES,41,False,Fishing,unknown,5,M
2017,Provoked,AUSTRALIA,29,False,Unknown,unknown,5,M
2017,Unprovoked,MEXICO,33,True,Water Activity,unknown,5,M
2017,Invalid,USA,18,False,Water Activity,unknown,5,F
2017,Unprovoked,SOUTH AFRICA,14,False,Water Activity,unknown,4,M
2017,Unprovoked,USA,33,False,Water Activity,unknown,4,F
2017,Unprovoked,REUNION,28,True,Unknown,unknown,4,M
2017,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",40,False,Water Activity,unknown,4,F
2017,Unprovoked,AUSTRALIA,17,True,Water Activity,white,4,F
2017,Unprovoked,USA,28,False,Water Activity,tiger,4,M
2017,Unprovoked,USA,17,False,Water Activity,unknown,4,M
2017,Unprovoked,USA,35,False,Water Activity,unknown,4,F
2017,Unprovoked,USA,10,False,Unknown,unknown,4,F
2017,Unprovoked,USA,21,False,Water Activity,unknown,4,F
2017,Unprovoked,USA,16,False,Water Activity,unknown,4,M
2017,Unprovoked,USA,51,False,Water Activity,unknown,4,F
2017,Unprovoked,AUSTRALIA,39,False,Unknown,unknown,4,M
2017,Unprovoked,USA,17,False,Water Activity,unknown,4,F
2017,Unprovoked,USA,58,False,Water Activity,unknown,3,M
2017,Unprovoked,AUSTRALIA,30,False,Unknown,unknown,3,M
2017,Unprovoked,BAHAMAS,58,False,Unknown,lemon,3,M
2017,Unprovoked,REUNION,26,True,Unknown,unknown,2,M
2017,Unprovoked,AUSTRALIA,26,False,Fishing,unknown,2,M
2017,Unprovoked,USA,22,False,Water Activity,unknown,2,M
2017,Unprovoked,BAHAMAS,37,False,Unknown,unknown,2,M
2017,Unprovoked,AUSTRALIA,55,False,Unknown,bull,1,M
2017,Unprovoked,AUSTRALIA,57,False,Water Activity,unknown,1,M
2017,Unprovoked,INDONESIA,48,False,Water Activity,bull,1,M
2017,Unprovoked,USA,47,False,Unknown,unknown,1,M
2017,Invalid,AUSTRALIA,20,False,Unknown,unknown,1,M
2016,Unprovoked,USA,16,False,Water Activity,unknown,12,M
2016,Unprovoked,SOUTH AFRICA,55,False,Unknown,white,12,M
2016,Unprovoked,AUSTRALIA,61,False,Unknown,unknown,12,M
2016,Invalid,USA,19,False,Water Activity,unknown,12,M
2016,Unprovoked,ENGLAND,36,False,Unknown,unknown,12,M
2016,Provoked,AUSTRALIA,20,False,Unknown,unknown,12,M
2016,Unprovoked,AUSTRALIA,65,False,Water Activity,white,12,M
2016,Provoked,AUSTRALIA,73,False,Fishing,unknown,11,M
2016,Unprovoked,USA,58,False,Unknown,tiger,11,F
2016,Unprovoked,USA,41,False,Water Activity,unknown,10,M
2016,Unprovoked,USA,42,False,Water Activity,unknown,10,M
2016,Unprovoked,AUSTRALIA,36,False,Water Activity,unknown,10,M
2016,Unprovoked,USA,36,False,Water Activity,unknown,10,M
2016,Unprovoked,USA,66,False,Water Activity,unknown,10,F
2016,Unprovoked,AUSTRALIA,25,False,Water Activity,unknown,10,M
2016,Unprovoked,USA,29,False,Water Activity,unknown,10,M
2016,Unprovoked,USA,21,False,Water Activity,unknown,10,M
2016,Unprovoked,USA,32,False,Unknown,unknown,10,M
2016,Unprovoked,AUSTRALIA,17,False,Water Activity,white,9,M
2016,Unprovoked,USA,16,False,Water Activity,unknown,9,M
2016,Unprovoked,USA,36,False,Water Activity,unknown,9,M
2016,Unprovoked,USA,43,False,Water Activity,unknown,9,M
