Year,Type,Country,Sex ,Age,Fatal (Y/N)
2017.0,Unprovoked,AUSTRALIA,M,48,N
2017.0,Unprovoked,USA,M,19,N
2017.0,Unprovoked,UNITED KINGDOM,M,30,N
2017.0,Unprovoked,BAHAMAS,F,32,N
2017.0,Provoked,USA,F,20,N
2017.0,Unprovoked,UNITED ARAB EMIRATES,M,41,N
2017.0,Provoked,AUSTRALIA,M,29,N
2017.0,Unprovoked,MEXICO,M,33,Y
2017.0,Invalid,USA,F,18,N
2017.0,Unprovoked,SOUTH AFRICA,M,14,N
2017.0,Unprovoked,USA,F,33,N
2017.0,Unprovoked,REUNION,M,28,Y
2017.0,Unprovoked,NEW ZEALAND,F,20s,N
2017.0,Unprovoked,"ST HELENA, British overseas territory",F,40,N
2017.0,Unprovoked,AUSTRALIA,F,17,Y
2017.0,Unprovoked,USA,M,28,N
2017.0,Unprovoked,USA,M,17,N
2017.0,Unprovoked,USA,F,35,N
2017.0,Unprovoked,USA,F,10,N
2017.0,Unprovoked,USA,F,21,N
2017.0,Unprovoked,USA,M,16,N
2017.0,Unprovoked,USA,F,51,N
2017.0,Unprovoked,AUSTRALIA,M,39,N
2017.0,Unprovoked,USA,F,17,N
2017.0,Unprovoked,USA,M,58,N
2017.0,Unprovoked,AUSTRALIA,M,30,N
2017.0,Unprovoked,BAHAMAS,M,58,N
2017.0,Unprovoked,REUNION,M,26,Y
2017.0,Unprovoked,AUSTRALIA,M,26,N
2017.0,Unprovoked,USA,M,22,N
2017.0,Unprovoked,BAHAMAS,M,37,N
2017.0,Unprovoked,USA,M,Teen,N
2017.0,Unprovoked,AUSTRALIA,M,55,N
2017.0,Unprovoked,AUSTRALIA,M,57,N
2017.0,Unprovoked,INDONESIA,M,48,N
2017.0,Unprovoked,USA,M,47,N
2017.0,Invalid,AUSTRALIA,M,20,N
2016.0,Unprovoked,USA,M,16,N
2016.0,Unprovoked,SOUTH AFRICA,M,55,N
2016.0,Unprovoked,AUSTRALIA,M,61,N
2016.0,Invalid,USA,M,19,N
2016.0,Unprovoked,England,M,36,N
2016.0,Provoked,AUSTRALIA,M,20,N
2016.0,Unprovoked,AUSTRALIA,M,65,N
2016.0,Provoked,AUSTRALIA,M,73,N
2016.0,Unprovoked,USA,F,58,N
2016.0,Unprovoked,USA,M,41,N
2016.0,Unprovoked,USA,M,42,N
2016.0,Unprovoked,AUSTRALIA,M,36,N
2016.0,Unprovoked,USA,M,36,N
2016.0,Unprovoked,USA,F,66,N
2016.0,Unprovoked,AUSTRALIA,M,25,N
2016.0,Unprovoked,USA,M,29,N
2016.0,Unprovoked,USA,M,21,N
2016.0,Unprovoked,USA,M,32,N
2016.0,Unprovoked,AUSTRALIA,M,17,N
2016.0,Unprovoked,USA,M,16,N
2016.0,Unprovoked,USA,M,36,N
2016.0,Unprovoked,USA,M,43,N
2016.0,Unprovoked,USA,M,43,N
2016.0,Unprovoked,USA,M,60s,N
2016.0,Unprovoked,USA,F,51,N
2016.0,Unprovoked,NEW CALEDONIA,M,50,Y
2016.0,Unprovoked,USA,F,12,N
2016.0,Unprovoked,USA,M,9,N
2016.0,Unprovoked,USA,M,22,N
2016.0,Unprovoked,USA,M,25,N
2016.0,Unprovoked,USA,M,37,N
2016.0,Unprovoked,REUNION,M,20,N
2016.0,Unprovoked,USA,M,49,N
2016.0,Unprovoked,BAHAMAS,M,15,N
2016.0,Unprovoked,USA,M,21,N
2016.0,Unprovoked,USA,M,22,N
2016.0,Unprovoked,SPAIN,M,40,N
2016.0,Unprovoked,CHINA,M,72,N
2016.0,Provoked,USA,M,43,N
2016.0,Unprovoked,AUSTRALIA,M,18,N
2016.0,Unprovoked,JAPAN,M,29,N
2016.0,Unprovoked,AUSTRALIA,M,36,N
2016.0,Provoked,AUSTRALIA,M,31,N
2016.0,Unprovoked,USA,F,9,N
2016.0,Unprovoked,USA,F,11,N
2016.0,Unprovoked,USA,M,61,N
2016.0,Unprovoked,SPAIN,F,10,N
2016.0,Provoked,USA,M,59,N
2016.0,Unprovoked,USA,F,42,N
2016.0,Provoked,AUSTRALIA,M,34,N
2016.0,Unprovoked,USA,M,35,N
2016.0,Unprovoked,USA,M,11,N
2016.0,Unprovoked,COLUMBIA,M,59,N
2016.0,Unprovoked,SOUTH AFRICA,M,43,N
2016.0,Unprovoked,USA,M,42,N
2016.0,Provoked,AUSTRALIA,M,19,N
2016.0,Unprovoked,USA,F,6,N
2016.0,Unprovoked,USA,M,19,N
2016.0,Invalid,USA,M,27,N
2016.0,Unprovoked,USA,M,64,N
2016.0,Unprovoked,AUSTRALIA,F,60,Y
2016.0,Unprovoked,EGYPT,M,23,N
2016.0,Unprovoked,AUSTRALIA,M,29,Y
2016.0,Unprovoked,USA,F,52,N
2016.0,Unprovoked,USA,M,13,N
2016.0,Unprovoked,USA,F,57,N
2016.0,Unprovoked,USA,F,22,N
2016.0,Unprovoked,USA,F,11,N
2016.0,Unprovoked,USA,M,48,N
2016.0,Provoked,USA,F,23,N
2016.0,Unprovoked,USA,M,59,N
2016.0,Provoked,NEW ZEALAND,M,39,N
2016.0,Unprovoked,INDONESIA,M,24,N
2016.0,Unprovoked,USA,M,15,N
2016.0,Unprovoked,AUSTRALIA,M,12,N
2016.0,Provoked,FRENCH POLYNESIA,M,26,N
2016.0,Unprovoked,USA,M,26,N
2016.0,Unprovoked,NEW CALEDONIA,F,69,Y
2016.0,Invalid,CAPE VERDE,M,60,N
2016.0,Unprovoked,USA,M,34,N
2016.0,Unprovoked,USA,F,46,N
2016.0,Unprovoked,AUSTRALIA,M,22,N
2016.0,Unprovoked,USA,M,Teen,N
2016.0,Unprovoked,AUSTRALIA,M,41,N
2016.0,Provoked,BAHAMAS,M,9,N
2016.0,Unprovoked,USA,M,19,N
2016.0,Unprovoked,Fiji,M,45,Y
2016.0,Unprovoked,USA,M,12,N
2016.0,Unprovoked,BRAZIL,M,41,N
2016.0,Unprovoked,NEW CALEDONIA,M,21,N
2016.0,Unprovoked,NEW CALEDONIA,M,31,N
2016.0,Invalid,CAYMAN ISLANDS,M,65,N
2016.0,Unprovoked,AUSTRALIA,F,45,N
2016.0,Unprovoked,AUSTRALIA,M,40,N
2016.0,Unprovoked,USA,F,15,N
2016.0,Unprovoked,USA,M,48,N
2016.0,Unprovoked,AUSTRALIA,M,11,N
2016.0,Unprovoked,AUSTRALIA,M,31,N
2015.0,Unprovoked,SPAIN,F,38,N
2015.0,Unprovoked,USA,M,71,N
2015.0,Unprovoked,AUSTRALIA,M,43,N
2015.0,Unprovoked,BRAZIL,M,32,N
2015.0,Unprovoked,ARUBA,M,58,Y
2015.0,Unprovoked,BAHAMAS,M,26,N
