Year,Type,Country,Sex ,Age,Fatal (Y/N)
2017.0,UNPROVOKED,AUSTRALIA,M,,N
2017.0,UNPROVOKED,USA,M,,N
2017.0,UNPROVOKED,UNITEDKINGDOM,M,,N
2017.0,UNPROVOKED,BAHAMAS,F,,N
2017.0,PROVOKED,USA,F,,N
2017.0,UNPROVOKED,UNITEDARABEMIRATES,M,,N
2017.0,PROVOKED,AUSTRALIA,M,,N
2017.0,UNPROVOKED,MEXICO,M,,Y
2017.0,INVALID,USA,F,,N
2017.0,UNPROVOKED,SOUTHAFRICA,M,,N
2017.0,UNPROVOKED,USA,F,,N
2017.0,UNPROVOKED,REUNION,M,,Y
2017.0,UNPROVOKED,NEWZEALAND,F,S,N
2017.0,UNPROVOKED,STHELENABRITISHOVERSEASTERRITORY,F,,N
2017.0,UNPROVOKED,AUSTRALIA,F,,Y
2017.0,UNPROVOKED,USA,M,,N
2017.0,UNPROVOKED,USA,M,,N
2017.0,UNPROVOKED,USA,F,,N
2017.0,UNPROVOKED,USA,F,,N
2017.0,UNPROVOKED,USA,F,,N
2017.0,UNPROVOKED,USA,M,,N
2017.0,UNPROVOKED,USA,F,,N
2017.0,UNPROVOKED,AUSTRALIA,M,,N
2017.0,UNPROVOKED,USA,F,,N
2017.0,UNPROVOKED,USA,M,,N
2017.0,UNPROVOKED,AUSTRALIA,M,,N
2017.0,UNPROVOKED,BAHAMAS,M,,N
2017.0,UNPROVOKED,REUNION,M,,Y
2017.0,UNPROVOKED,AUSTRALIA,M,,N
2017.0,UNPROVOKED,USA,M,,N
2017.0,UNPROVOKED,BAHAMAS,M,,N
2017.0,UNPROVOKED,USA,M,TEEN,N
2017.0,UNPROVOKED,AUSTRALIA,M,,N
2017.0,UNPROVOKED,AUSTRALIA,M,,N
2017.0,UNPROVOKED,INDONESIA,M,,N
2017.0,UNPROVOKED,USA,M,,N
2017.0,INVALID,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,SOUTHAFRICA,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,INVALID,USA,M,,N
2016.0,UNPROVOKED,ENGLAND,M,,N
2016.0,PROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,PROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,S,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,NEWCALEDONIA,M,,Y
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,REUNION,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,BAHAMAS,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,SPAIN,M,,N
2016.0,UNPROVOKED,CHINA,M,,N
2016.0,PROVOKED,USA,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,JAPAN,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,PROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,SPAIN,F,,N
2016.0,PROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,PROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,COLUMBIA,M,,N
2016.0,UNPROVOKED,SOUTHAFRICA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,PROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,INVALID,USA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,AUSTRALIA,F,,Y
2016.0,UNPROVOKED,EGYPT,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,Y
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,PROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,PROVOKED,NEWZEALAND,M,,N
2016.0,UNPROVOKED,INDONESIA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,PROVOKED,FRENCHPOLYNESIA,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,NEWCALEDONIA,F,,Y
2016.0,INVALID,CAPEVERDE,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,M,TEEN,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,PROVOKED,BAHAMAS,M,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,FIJI,M,,Y
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,BRAZIL,M,,N
2016.0,UNPROVOKED,NEWCALEDONIA,M,,N
2016.0,UNPROVOKED,NEWCALEDONIA,M,,N
2016.0,INVALID,CAYMANISLANDS,M,,N
2016.0,UNPROVOKED,AUSTRALIA,F,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,USA,F,,N
2016.0,UNPROVOKED,USA,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2016.0,UNPROVOKED,AUSTRALIA,M,,N
2015.0,UNPROVOKED,SPAIN,F,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,AUSTRALIA,M,,N
2015.0,UNPROVOKED,BRAZIL,M,,N
2015.0,UNPROVOKED,ARUBA,M,,Y
2015.0,UNPROVOKED,BAHAMAS,M,,N
2015.0,UNPROVOKED,SOUTHAFRICA,F,,N
2015.0,UNPROVOKED,ECUADOR,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,AUSTRALIA,M,,N
2015.0,INVALID,USA,F,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,F,,N
2015.0,UNPROVOKED,MOZAMBIQUE,M,,N
2015.0,UNPROVOKED,AUSTRALIA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,SOUTHAFRICA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,MOZAMBIQUE,F,,Y
2015.0,INVALID,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,F,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,AUSTRALIA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,AUSTRALIA,F,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,AUSTRALIA,M,,N
